,timestamp,end_timestamp,Slot,Segment No.,Total Airtime (seconds),target_audience,reach_avg,length,Priority_scheduel,Campaign,Priority,HN,Notes,Target-Audience(Male/Female/Kids),Promo Duration Seconds,Promo Duration,schd_start_ts,schd_end_ts,promo_start_ts,promo_end_ts
0,2024-01-30 06:00:00,2024-01-30 06:16:00,1,1,240,female,584.875,0 days 00:16:00,L,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 06:00:00,2024-01-30 06:16:00,2024-01-30 06:16:00,2024-01-30 06:17:00
1,2024-01-30 06:16:00,2024-01-30 06:25:00,1,2,240,female,610.7777778,0 days 00:09:00,L,4.0,H,DIG-08374,MBC1,female/male,55.0,0 days 00:00:55,2024-01-30 06:17:00,2024-01-30 06:26:00,2024-01-30 06:26:00,2024-01-30 06:26:55
2,2024-01-30 06:25:00,2024-01-30 06:34:00,1,3,240,female,614.6666667,0 days 00:09:00,L,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 06:26:55,2024-01-30 06:35:55,2024-01-30 06:35:55,2024-01-30 06:36:30
3,2024-01-30 07:00:00,2024-01-30 07:15:00,2,1,360,female,617.2,0 days 00:15:00,L,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-30 06:36:30,2024-01-30 06:51:30,2024-01-30 06:51:30,2024-01-30 06:53:12
4,2024-01-30 07:15:00,2024-01-30 07:21:00,2,2,360,female,684.8333333,0 days 00:06:00,L,2.0,H,DIG-08358,MBC1,female,80.0,0 days 00:01:20,2024-01-30 06:53:12,2024-01-30 06:59:12,2024-01-30 06:59:12,2024-01-30 07:00:32
5,2024-01-30 07:21:00,2024-01-30 07:26:00,2,3,360,female,707.6,0 days 00:05:00,L,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 07:00:32,2024-01-30 07:05:32,2024-01-30 07:05:32,2024-01-30 07:06:32
6,2024-01-30 07:26:00,2024-01-30 07:32:00,2,4,360,female,692.0,0 days 00:06:00,L,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 07:06:32,2024-01-30 07:12:32,2024-01-30 07:12:32,2024-01-30 07:13:07
7,2024-01-30 08:00:00,2024-01-30 08:20:00,3,1,360,female/male,823.2,0 days 00:20:00,L,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-30 07:13:07,2024-01-30 07:33:07,2024-01-30 07:33:07,2024-01-30 07:34:49
8,2024-01-30 08:20:00,2024-01-30 08:40:00,3,2,360,female/male,977.15,0 days 00:20:00,L,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 07:34:49,2024-01-30 07:54:49,2024-01-30 07:54:49,2024-01-30 07:55:49
9,2024-01-30 08:40:00,2024-01-30 09:01:00,3,3,360,female/male,1135.666667,0 days 00:21:00,L,4.0,H,DIG-08374,MBC1,female/male,55.0,0 days 00:00:55,2024-01-30 07:55:49,2024-01-30 08:16:49,2024-01-30 08:16:49,2024-01-30 08:17:44
10,2024-01-30 09:01:00,2024-01-30 09:21:00,3,4,360,female/male,1224.65,0 days 00:20:00,M,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 08:17:44,2024-01-30 08:37:44,2024-01-30 08:37:44,2024-01-30 08:38:19
11,2024-01-30 09:21:00,2024-01-30 09:31:00,3,5,360,female/male,1403.8,0 days 00:10:00,M,6.0,H,DIG-08378,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 08:38:19,2024-01-30 08:48:19,2024-01-30 08:48:19,2024-01-30 08:48:54
12,2024-01-30 11:00:00,2024-01-30 11:10:00,6,1,240,female,1964.8,0 days 00:10:00,M,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-30 11:00:00,2024-01-30 11:10:00,2024-01-30 11:10:00,2024-01-30 11:11:42
13,2024-01-30 11:10:00,2024-01-30 11:17:00,6,2,240,female,2017.0,0 days 00:07:00,H,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 11:11:42,2024-01-30 11:18:42,2024-01-30 11:18:42,2024-01-30 11:19:42
14,2024-01-30 11:17:00,2024-01-30 11:23:00,6,3,240,female,2081.333333,0 days 00:06:00,H,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 11:19:42,2024-01-30 11:25:42,2024-01-30 11:25:42,2024-01-30 11:26:17
15,2024-01-30 12:00:00,2024-01-30 12:17:00,7,1,60,female/male,1903.941176,0 days 00:17:00,M,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 11:26:17,2024-01-30 11:43:17,2024-01-30 11:43:17,2024-01-30 11:44:17
16,2024-01-30 13:00:00,2024-01-30 13:19:00,8,1,240,female/male,1742.684211,0 days 00:19:00,M,1.0,M,DIG-08357,MBC1,female/male,102.0,0 days 00:01:42,2024-01-30 11:44:17,2024-01-30 12:03:17,2024-01-30 12:03:17,2024-01-30 12:04:59
17,2024-01-30 13:19:00,2024-01-30 13:24:00,8,2,240,female/male,1960.8,0 days 00:05:00,M,3.0,H,DIG-08368,MBC1,female/male,60.0,0 days 00:01:00,2024-01-30 12:04:59,2024-01-30 12:09:59,2024-01-30 12:09:59,2024-01-30 12:10:59
18,2024-01-30 13:24:00,2024-01-30 13:31:00,8,3,240,female/male,1844.285714,0 days 00:07:00,M,5.0,H,DIG-08376,MBC1,female/male,35.0,0 days 00:00:35,2024-01-30 12:10:59,2024-01-30 12:17:59,2024-01-30 12:17:59,2024-01-30 12:18:34
